,numords,totdol,last,buyer,buyerdummy,dollars
277,1,159,426,no,0,0
278,3,395,4,no,0,0
280,9,403,8,no,0,0
281,2,178,513,no,0,0
282,8,401,430,no,0,0
283,3,678,646,no,0,0
285,1,44,478,no,0,0
286,1,99,371,no,0,0
287,2,128,220,no,0,0
288,7,244,43,no,0,0
289,2,388,917,no,0,0
290,9,800,361,no,0,0
291,4,486,147,no,0,0
292,2,283,158,no,0,0
293,1,49,199,no,0,0
294,1,77,78,no,0,0
295,49,3734,716,no,0,0
296,5,867,463,no,0,0
297,1,17,918,no,0,0
298,2,39,898,no,0,0
299,2,198,478,no,0,0
300,1,61,347,no,0,0
301,1,162,73,no,0,0
302,3,217,39,no,0,0
303,22,1258,58,no,0,0
304,11,712,100,no,0,0
305,1,59,738,no,0,0
306,1,104,241,no,0,0
307,1,99,91,no,0,0
308,1,139,17,no,0,0
309,14,371,25,no,0,0
310,2,158,24,no,0,0
311,3,427,739,no,0,0
312,4,335,497,no,0,0
313,4,147,421,no,0,0
314,3,71,373,no,0,0
315,6,937,99,no,0,0
316,6,473,798,no,0,0
317,1,29,982,no,0,0
318,5,211,39,no,0,0
319,1,19,907,no,0,0
320,2,185,423,no,0,0
321,2,168,353,no,0,0
322,4,393,200,no,0,0
323,9,336,336,no,0,0
324,3,796,242,no,0,0
325,6,984,67,no,0,0
326,5,1011,10,no,0,0
327,2,74,95,no,0,0
328,2,140,843,no,0,0
329,3,654,455,no,0,0
330,1,79,917,no,0,0
331,1,49,745,no,0,0
332,1,269,39,no,0,0
333,7,172,8,no,0,0
334,2,256,497,no,0,0
335,5,262,4,no,0,0
336,4,1050,567,no,0,0
337,86,5672,149,no,0,0
338,1,27,1012,no,0,0
339,1,62,123,no,0,0
340,1,74,32,no,0,0
341,20,1284,58,no,0,0
342,7,479,952,no,0,0
343,5,698,308,no,0,0
344,3,237,588,no,0,0
345,1,74,429,no,0,0
346,1,159,298,no,0,0
347,4,439,728,no,0,0
348,5,205,225,no,0,0
349,1,164,172,no,0,0
350,6,406,346,no,0,0
351,2,198,513,no,0,0
352,19,963,716,no,0,0
353,2,96,39,no,0,0
354,1,92,100,no,0,0
355,3,146,430,no,0,0
356,28,1548,25,no,0,0
357,3,258,445,no,0,0
358,4,285,634,no,0,0
359,2,140,751,no,0,0
360,4,347,973,no,0,0
361,1,209,660,no,0,0
362,1,59,487,no,0,0
363,15,1370,478,no,0,0
364,82,3345,30,no,0,0
365,3,487,765,no,0,0
366,5,193,46,no,0,0
367,4,166,87,no,0,0
368,9,1638,53,no,0,0
369,2,112,1023,no,0,0
370,1,19,441,no,0,0
371,1,39,912,no,0,0
372,2,218,451,no,0,0
373,15,316,645,no,0,0
374,1,26,492,no,0,0
375,2,204,266,no,0,0
376,1,42,196,no,0,0
377,16,769,493,no,0,0
378,9,518,438,no,0,0
379,2,388,561,no,0,0
380,4,570,46,no,0,0
381,1,62,861,no,0,0
382,1,449,765,no,0,0
383,1,64,319,no,0,0
384,3,237,67,no,0,0
385,1,12,130,no,0,0
386,26,612,317,no,0,0
387,17,698,18,no,0,0
388,15,2348,248,no,0,0
389,6,345,102,no,0,0
390,6,780,368,no,0,0
391,3,448,604,no,0,0
392,2,408,1099,no,0,0
393,13,1587,95,no,0,0
394,3,517,71,no,0,0
395,2,201,904,no,0,0
396,2,54,884,no,0,0
397,10,670,426,no,0,0
398,4,231,28,no,0,0
399,2,142,493,no,0,0
400,2,125,275,no,0,0
401,2,173,459,no,0,0
402,2,143,389,no,0,0
403,1,199,15,no,0,0
404,13,1025,569,no,0,0
405,3,182,204,no,0,0
406,1,39,242,no,0,0
407,9,651,18,no,0,0
408,1,89,177,no,0,0
409,2,308,25,no,0,0
410,38,1605,913,no,0,0
412,18,1070,596,no,0,0
413,4,123,53,no,0,0
414,10,855,72,no,0,0
415,1,203,981,no,0,0
416,4,251,805,no,0,0
417,4,374,176,no,0,0
418,2,128,410,no,0,0
419,4,401,1089,no,0,0
420,4,956,30,no,0,0
421,2,307,627,no,0,0
422,1,299,408,no,0,0
423,2,138,373,no,0,0
424,1,149,352,no,0,0
425,1,59,176,no,0,0
427,41,4695,60,no,0,0
428,5,732,108,no,0,0
429,5,324,410,no,0,0
430,12,2236,4,no,0,0
431,1,388,1092,no,0,0
432,4,382,23,no,0,0
433,1,239,711,no,0,0
434,8,920,148,no,0,0
435,24,1016,35,no,0,0
436,5,690,142,no,0,0
437,5,207,35,no,0,0
438,1,59,351,no,0,0
439,19,1496,249,no,0,0
440,3,302,773,no,0,0
441,7,578,129,no,0,0
442,2,118,295,no,0,0
443,2,468,588,no,0,0
444,7,403,49,no,0,0
445,2,88,703,no,0,0
446,40,2770,114,no,0,0
447,23,2287,102,no,0,0
448,7,485,833,no,0,0
449,3,117,366,no,0,0
450,3,114,361,no,0,0
451,2,102,840,no,0,0
452,3,441,9,no,0,0
453,2,188,1107,no,0,0
454,2,198,319,no,0,0
455,1,19,1110,no,0,0
456,3,227,742,no,0,0
457,1,161,1033,no,0,0
458,2,92,588,no,0,0
459,1,39,910,no,0,0
460,2,174,767,no,0,0
461,1,29,746,no,0,0
463,4,557,1,no,0,0
464,3,253,109,no,0,0
465,1,101,400,no,0,0
466,2,223,358,no,0,0
467,1,259,309,no,0,0
468,1,89,114,no,0,0
469,1,39,9,no,0,0
470,21,1527,25,no,0,0
471,25,1140,639,no,0,0
472,21,624,427,no,0,0
474,4,515,501,no,0,0
475,1,119,1115,no,0,0
476,2,61,487,no,0,0
477,2,1120,896,no,0,0
478,1,99,392,no,0,0
479,3,572,1,no,0,0
480,2,148,141,no,0,0
481,4,405,35,no,0,0
482,2,91,1114,no,0,0
483,5,185,1108,no,0,0
484,5,241,92,no,0,0
486,4,97,478,no,0,0
487,9,592,169,no,0,0
488,1,59,206,no,0,0
489,3,420,60,no,0,0
490,29,589,631,no,0,0
491,5,804,738,no,0,0
494,5,177,361,no,0,0
495,5,1493,527,no,0,0
496,3,270,746,no,0,0
497,1,19,1087,no,0,0
498,1,59,900,no,0,0
499,1,103,890,no,0,0
500,6,446,323,no,0,0
501,4,421,442,no,0,0
502,4,116,669,no,0,0
503,2,174,267,no,0,0
504,1,79,599,no,0,0
505,1,19,597,no,0,0
506,3,121,135,no,0,0
507,1,99,305,no,0,0
508,40,2563,21,no,0,0
509,4,315,388,no,0,0
510,3,208,235,no,0,0
511,1,109,553,no,0,0
512,1,59,396,no,0,0
513,17,1040,494,no,0,0
514,2,89,116,no,0,0
515,1,104,10,no,0,0
516,3,229,29,no,0,0
517,3,458,753,no,0,0
518,7,426,381,no,0,0
519,6,522,109,no,0,0
520,1,107,1061,no,0,0
521,3,187,343,no,0,0
524,1,599,728,no,0,0
525,1,125,694,no,0,0
526,1,34,603,no,0,0
527,4,59,56,no,0,0
528,1,99,403,no,0,0
529,1,199,381,no,0,0
530,1,69,190,no,0,0
531,1,39,175,no,0,0
532,1,224,99,no,0,0
533,13,851,672,no,0,0
534,9,541,15,no,0,0
535,2,58,1010,no,0,0
536,1,27,395,no,0,0
537,6,275,253,no,0,0
538,14,805,94,no,0,0
539,23,886,60,no,0,0
540,4,197,203,no,0,0
541,25,3384,22,no,0,0
542,3,237,891,no,0,0
543,7,780,123,no,0,0
544,5,442,207,no,0,0
545,8,510,876,no,0,0
546,5,157,226,no,0,0
547,2,314,463,no,0,0
548,6,130,435,no,0,0
549,6,217,1081,no,0,0
550,12,568,414,no,0,0
551,3,247,87,no,0,0
552,6,401,31,no,0,0
553,2,403,30,no,0,0
554,5,592,11,no,0,0
555,10,790,6,no,0,0
556,9,715,11,no,0,0
557,4,202,931,no,0,0
558,2,90,298,no,0,0
559,1,71,478,no,0,0
560,2,310,1012,no,0,0
561,4,348,161,no,0,0
562,7,406,389,no,0,0
563,8,127,492,no,0,0
564,2,148,833,no,0,0
565,5,346,861,no,0,0
566,1,156,1022,no,0,0
567,2,224,980,no,0,0
568,2,148,931,no,0,0
569,7,264,437,no,0,0
570,1,99,967,no,0,0
571,6,458,311,no,0,0
572,11,1316,43,no,0,0
573,2,45,728,no,0,0
574,1,26,849,no,0,0
575,9,1281,59,no,0,0
576,6,736,56,no,0,0
577,2,73,93,no,0,0
578,1,159,722,no,0,0
579,4,108,122,no,0,0
580,2,309,560,no,0,0
581,4,76,441,no,0,0
583,5,224,43,no,0,0
584,3,187,17,no,0,0
585,3,555,46,no,0,0
586,3,202,172,no,0,0
587,1,134,401,no,0,0
588,1,168,373,no,0,0
589,1,59,298,no,0,0
590,1,59,263,no,0,0
591,1,229,71,no,0,0
592,1,19,53,no,0,0
593,1,179,42,no,0,0
594,3,139,718,no,0,0
595,9,825,11,no,0,0
596,7,336,567,no,0,0
597,4,209,899,no,0,0
598,3,137,989,no,0,0
599,14,2240,25,no,0,0
600,5,388,354,no,0,0
601,2,132,129,no,0,0
602,2,97,757,no,0,0
603,2,368,245,no,0,0
604,1,104,1094,no,0,0
605,1,174,975,no,0,0
606,6,359,400,no,0,0
607,3,187,185,no,0,0
608,3,586,350,no,0,0
609,2,74,113,no,0,0
610,3,140,436,no,0,0
611,6,304,172,no,0,0
612,1,58,459,no,0,0
613,19,845,60,no,0,0
614,4,226,1072,no,0,0
615,2,236,109,no,0,0
616,1,149,743,no,0,0
617,1,89,680,no,0,0
618,1,25,487,no,0,0
620,1,39,183,no,0,0
621,16,1245,233,no,0,0
622,3,150,959,no,0,0
623,2,186,423,no,0,0
624,4,386,18,no,0,0
625,1,129,809,no,0,0
626,2,83,158,no,0,0
627,52,3901,406,no,0,0
628,15,679,28,no,0,0
629,15,2323,928,no,0,0
630,17,787,113,no,0,0
631,4,536,494,no,0,0
632,7,1506,142,no,0,0
633,5,255,673,no,0,0
634,2,26,557,no,0,0
635,6,490,578,no,0,0
636,1,52,1024,no,0,0
637,3,179,837,no,0,0
638,1,26,864,no,0,0
639,1,400,829,no,0,0
640,3,322,283,no,0,0
641,5,648,15,no,0,0
642,2,238,114,no,0,0
643,1,99,494,no,0,0
644,1,39,368,no,0,0
645,2,138,211,no,0,0
646,1,99,44,no,0,0
647,1,8,25,no,0,0
648,13,792,155,no,0,0
649,6,296,366,no,0,0
650,3,147,633,no,0,0
651,1,190,987,no,0,0
652,1,240,693,no,0,0
653,2,119,799,no,0,0
654,1,74,10,no,0,0
655,10,1215,28,no,0,0
656,3,146,830,no,0,0
657,18,1248,38,no,0,0
658,2,301,634,no,0,0
659,4,277,744,no,0,0
660,3,145,232,no,0,0
661,2,118,51,no,0,0
662,2,102,630,no,0,0
663,1,286,407,no,0,0
664,1,19,35,no,0,0
665,1,19,28,no,0,0
666,1,159,22,no,0,0
667,1,39,21,no,0,0
668,7,469,112,no,0,0
669,7,338,858,no,0,0
670,1,34,858,no,0,0
671,1,62,857,no,0,0
672,10,1111,276,no,0,0
673,1,229,371,no,0,0
674,1,89,366,no,0,0
675,1,39,359,no,0,0
676,17,1690,66,no,0,0
677,2,369,771,no,0,0
678,1,12,203,no,0,0
679,1,19,423,no,0,0
680,11,564,95,no,0,0
681,4,118,616,no,0,0
682,2,94,1093,no,0,0
683,4,293,401,no,0,0
684,1,19,793,no,0,0
685,1,164,527,no,0,0
686,2,93,108,no,0,0
687,2,32,128,no,0,0
688,1,79,127,no,0,0
689,7,441,393,no,0,0
690,13,961,162,no,0,0
691,31,1580,23,no,0,0
692,13,921,857,no,0,0
693,7,629,301,no,0,0
694,3,174,365,no,0,0
695,2,127,504,no,0,0
696,3,689,42,no,0,0
697,7,275,98,no,0,0
698,1,119,1107,no,0,0
699,2,260,525,no,0,0
700,3,407,592,no,0,0
701,5,262,486,no,0,0
702,1,52,605,no,0,0
703,2,172,436,no,0,0
704,1,94,492,no,0,0
705,2,163,130,no,0,0
706,1,139,395,no,0,0
707,1,184,239,no,0,0
708,1,11,113,no,0,0
709,6,237,725,no,0,0
710,3,222,22,no,0,0
711,1,34,1109,no,0,0
712,2,198,93,no,0,0
713,4,274,716,no,0,0
714,1,101,787,no,0,0
715,3,101,37,no,0,0
716,2,98,553,no,0,0
717,1,99,596,no,0,0
718,3,139,123,no,0,0
719,3,229,27,no,0,0
720,1,116,114,no,0,0
721,1,79,46,no,0,0
722,7,761,14,no,0,0
723,42,2773,21,no,0,0
724,14,540,387,no,0,0
725,2,143,1015,no,0,0
726,6,249,851,no,0,0
727,5,359,437,no,0,0
728,18,2048,98,no,0,0
729,2,158,911,no,0,0
730,1,132,1099,no,0,0
731,1,79,1058,no,0,0
732,2,78,731,no,0,0
733,2,28,732,no,0,0
734,2,137,865,no,0,0
735,2,78,823,no,0,0
736,1,26,837,no,0,0
737,1,132,764,no,0,0
738,2,118,728,no,0,0
739,1,289,704,no,0,0
740,2,118,394,no,0,0
741,1,244,298,no,0,0
742,1,79,252,no,0,0
743,1,98,123,no,0,0
744,1,98,11,no,0,0
745,68,4203,21,no,0,0
746,6,323,350,no,0,0
747,3,704,35,no,0,0
748,1,129,539,no,0,0
749,2,158,347,no,0,0
750,1,89,133,no,0,0
751,1,304,18,no,0,0
752,4,85,1092,no,0,0
753,5,717,438,no,0,0
754,3,527,757,no,0,0
755,3,430,373,no,0,0
756,2,138,973,no,0,0
757,5,399,534,no,0,0
758,1,44,109,no,0,0
759,2,288,758,no,0,0
760,1,219,1047,no,0,0
761,1,59,710,no,0,0
762,1,89,655,no,0,0
763,4,777,437,no,0,0
764,3,159,102,no,0,0
765,1,44,462,no,0,0
766,1,64,346,no,0,0
767,3,320,24,no,0,0
768,1,55,224,no,0,0
769,1,109,154,no,0,0
770,21,1630,284,no,0,0
771,4,383,676,no,0,0
772,2,508,56,no,0,0
773,4,150,311,no,0,0
774,2,778,618,no,0,0
775,3,149,598,no,0,0
776,1,53,478,no,0,0
777,1,19,225,no,0,0
778,23,1313,147,no,0,0
780,9,587,178,no,0,0
781,14,1643,311,no,0,0
782,4,1169,3,no,0,0
783,5,658,119,no,0,0
784,2,469,935,no,0,0
785,3,382,935,no,0,0
786,5,659,240,no,0,0
787,4,411,375,no,0,0
788,2,109,767,no,0,0
789,5,209,385,no,0,0
790,4,536,18,no,0,0
791,3,259,109,no,0,0
792,3,304,449,no,0,0
793,2,29,742,no,0,0
794,1,274,757,no,0,0
795,3,491,543,no,0,0
796,4,351,382,no,0,0
797,2,383,269,no,0,0
798,2,152,358,no,0,0
799,1,69,394,no,0,0
800,1,249,319,no,0,0
801,1,59,179,no,0,0
802,1,52,158,no,0,0
803,1,31,119,no,0,0
804,19,936,137,no,0,0
805,4,492,464,no,0,0
806,1,65,926,no,0,0
807,1,119,800,no,0,0
808,13,1262,569,no,0,0
809,47,4691,35,no,0,0
810,31,3552,24,no,0,0
811,7,655,261,no,0,0
812,7,388,4,no,0,0
813,5,722,98,no,0,0
814,4,215,277,no,0,0
815,4,492,507,no,0,0
816,5,580,906,no,0,0
817,3,167,798,no,0,0
818,6,314,1,no,0,0
819,4,400,893,no,0,0
820,4,295,392,no,0,0
821,4,212,417,no,0,0
822,8,205,730,no,0,0
823,3,107,610,no,0,0
824,3,489,862,no,0,0
825,1,157,1065,no,0,0
826,4,166,18,no,0,0
827,2,226,728,no,0,0
828,1,49,854,no,0,0
829,4,784,442,no,0,0
830,1,7,847,no,0,0
831,2,278,786,no,0,0
832,2,178,771,no,0,0
833,3,395,101,no,0,0
834,1,19,725,no,0,0
835,1,59,718,no,0,0
836,8,1674,11,no,0,0
837,2,753,571,no,0,0
838,6,259,270,no,0,0
839,2,258,648,no,0,0
840,2,83,148,no,0,0
841,1,79,623,no,0,0
842,2,174,450,no,0,0
843,2,196,116,no,0,0
844,1,209,528,no,0,0
845,1,129,431,no,0,0
846,3,87,119,no,0,0
847,2,98,387,no,0,0
848,1,59,385,no,0,0
849,2,139,112,no,0,0
850,1,209,360,no,0,0
851,4,290,1,no,0,0
852,1,134,329,no,0,0
853,4,242,22,no,0,0
854,1,89,246,no,0,0
855,2,224,197,no,0,0
856,1,214,134,no,0,0
857,2,206,25,no,0,0
858,6,260,120,no,0,0
859,1,12,905,no,0,0
860,2,254,119,no,0,0
861,3,297,43,no,0,0
862,1,89,317,no,0,0
863,1,119,121,no,0,0
864,1,26,102,no,0,0
865,3,117,16,no,0,0
866,1,139,933,no,0,0
867,8,314,220,no,0,0
868,1,102,311,no,0,0
869,1,161,95,no,0,0
870,61,4313,282,no,0,0
871,6,691,828,no,0,0
872,2,198,409,no,0,0
873,2,278,486,no,0,0
874,4,478,759,no,0,0
875,4,666,395,no,0,0
876,2,83,291,no,0,0
877,1,80,791,no,0,0
878,1,188,735,no,0,0
879,4,793,200,no,0,0
880,2,133,277,no,0,0
881,1,39,380,no,0,0
882,2,136,123,no,0,0
883,1,206,353,no,0,0
884,1,22,116,no,0,0
885,1,49,37,no,0,0
886,1,109,14,no,0,0
887,27,2692,185,no,0,0
888,7,576,631,no,0,0
889,2,178,357,no,0,0
890,3,201,469,no,0,0
891,1,44,632,no,0,0
892,2,183,156,no,0,0
893,5,422,77,no,0,0
894,11,1269,753,no,0,0
895,4,346,444,no,0,0
896,4,590,36,no,0,0
897,3,70,1095,no,0,0
898,2,320,24,no,0,0
899,3,227,1095,no,0,0
900,6,669,127,no,0,0
901,1,119,893,no,0,0
902,4,451,275,no,0,0
903,3,136,624,no,0,0
904,1,64,757,no,0,0
905,1,149,746,no,0,0
906,2,654,592,no,0,0
907,1,169,562,no,0,0
908,1,99,547,no,0,0
909,1,44,98,no,0,0
910,4,585,32,no,0,0
911,1,99,18,no,0,0
912,68,4507,32,no,0,0
913,4,308,345,no,0,0
914,4,132,919,no,0,0
915,13,725,18,no,0,0
916,1,147,968,no,0,0
917,4,194,67,no,0,0
918,2,293,717,no,0,0
919,4,397,290,no,0,0
920,1,71,465,no,0,0
921,14,306,182,no,0,0
922,2,127,739,no,0,0
923,3,250,634,no,0,0
924,5,639,11,no,0,0
925,5,81,563,no,0,0
926,3,188,485,no,0,0
927,3,391,25,no,0,0
928,3,224,904,no,0,0
929,7,692,26,no,0,0
931,2,53,401,no,0,0
932,1,89,751,no,0,0
933,1,169,674,no,0,0
934,2,328,351,no,0,0
935,2,138,122,no,0,0
936,36,1285,32,no,0,0
937,11,640,87,no,0,0
938,4,104,939,no,0,0
939,1,19,1113,no,0,0
940,3,395,17,no,0,0
941,1,29,74,no,0,0
942,12,692,568,no,0,0
943,3,584,394,no,0,0
944,2,168,275,no,0,0
945,1,69,612,no,0,0
946,1,99,511,no,0,0
947,1,99,32,no,0,0
948,4,191,1072,no,0,0
949,1,162,926,no,0,0
950,8,229,270,no,0,0
951,2,10,843,no,0,0
952,2,75,534,no,0,0
953,2,328,651,no,0,0
954,1,79,326,no,0,0
955,1,179,17,no,0,0
956,4,199,116,no,0,0
957,3,131,756,no,0,0
958,1,139,921,no,0,0
959,5,537,66,no,0,0
960,2,286,514,no,0,0
961,2,199,260,no,0,0
962,9,452,269,no,0,0
963,7,583,1003,no,0,0
964,3,204,745,no,0,0
965,2,209,42,no,0,0
966,3,507,517,no,0,0
967,2,603,282,no,0,0
968,2,63,675,no,0,0
969,2,148,379,no,0,0
971,1,19,576,no,0,0
972,1,69,568,no,0,0
973,1,177,542,no,0,0
974,1,39,185,no,0,0
975,2,78,79,no,0,0
976,1,29,1026,no,0,0
977,1,39,1008,no,0,0
978,1,29,401,no,0,0
979,2,152,128,no,0,0
980,5,204,840,no,0,0
981,1,59,737,no,0,0
982,1,19,723,no,0,0
983,1,206,512,no,0,0
984,1,19,214,no,0,0
985,2,291,722,no,0,0
986,1,357,456,no,0,0
987,2,363,714,no,0,0
988,1,104,980,no,0,0
989,17,494,612,no,0,0
990,5,413,722,no,0,0
991,6,528,204,no,0,0
992,4,75,402,no,0,0
993,1,15,178,no,0,0
994,1,188,149,no,0,0
995,11,309,513,no,0,0
996,11,583,484,no,0,0
997,5,477,165,no,0,0
998,1,29,191,no,0,0
999,2,442,1012,no,0,0
1000,24,844,18,no,0,0
1001,7,264,1092,no,0,0
1002,11,345,95,no,0,0
1003,4,270,1026,no,0,0
1004,1,109,21,no,0,0
